Category,Message,,,
spam,"Hi,Thanks for working with us. Your bill for $373.75 was due on 28 Aug 2016.If you've already paid it, please ignore this email and sorry for bothering you. If you've not paid it, please do so as soon as possible.To view your bill visit https://in.xero.com/5LQDhRwfvoQfeDtLDMqkk1JWSqC4CmJt4VVJRsGN.If you've got any questions, or want to arrange alternative payment don't hesitate to get in touch.ThanksNJW Limited",,,
spam,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
ham,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,,,
ham,Mmm so yummy babe ... Nice jolt to the suzy,,,
ham,Ãœ bot notes oredi... Cos i juz rem i got...,,,
ham,Yar... I tot u knew dis would happen long ago already.,,,
ham,Are you comingdown later?,,,
ham,Huh so late... Fr dinner?,,,
ham,No need lar i go engin? Cos my sis at arts today...,,,
ham,Ya even those cookies have jelly on them,,,
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,,,
ham,Wife.how she knew the time of murder exactly,,,
ham,Oh ho. Is this the first time u use these type of words,,,
ham,Thts god's gift for birds as humans hav some natural gift frm god..,,,
ham,Hello- thanx for taking that call. I got a job! Starts on monday!,,,
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",,,
ham,"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....",,,
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,,,
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,,,
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",,,
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much.",,,
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,,,
ham,K:)k:)what are detail you want to transfer?acc no enough?,,,
ham,"Received, understood n acted upon!",,,
ham,Later i guess. I needa do mcat study too.,,,
ham,Teach me apps da. When you come to college.,,,
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",,,
ham,R Ã¼ comin back for dinner?,,,
ham,One small prestige problem now.,,,
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,,,
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,,,
ham,I ask if u meeting da ge tmr nite...,,,
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,,,
ham,I will spoil you in bed as well :),,,
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,,,
ham,They don't put that stuff on the roads to keep it from getting slippery over there?,,,
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,,,
ham,Is she replying. Has boye changed his phone number,,,
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,,,
ham,i can call in  &lt;#&gt;  min if thats ok,,,
spam,08714712388 between 10am-7pm Cost 10p,,,
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",,,
ham,"It's that time of the week again, ryan",,,
ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,,,
ham,2marrow only. Wed at  &lt;#&gt;  to 2 aha.,,,
ham,"I noe la... U wana pei bf oso rite... K lor, other days den...",,,
ham,That's cause your old. I live to be high.,,,
ham,But you were together so you should be thinkin about him,,,
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just Â£5 by replying GET BBDELUXE and take the challenge,,,
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",,,
ham,Call him and say you not coming today ok and tell them not to fool me like this ok,,,
ham,:( but your not here....,,,
ham,He dint tell anything. He is angry on me that why you told to abi.,,,
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",,,
ham,"Looks like you found something to do other than smoke, great job!",,,
ham,Did you show him and wot did he say or could u not c him 4 dust?,,,
ham,:-( sad puppy noise,,,
ham,Wot u up 2 u weirdo?,,,
ham,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",,,
ham,Jus finish bathing...,,,
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,,,
ham,";-( oh well, c u later",,,
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;,,,
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",,,
ham,7 lor... Change 2 suntec... Wat time u coming?,,,
ham,Feel like trying kadeem again? :V,,,
spam,"Dear Member,We have faced some problems with your account Please update the account.If you do not update will beClosed.To Update your account, just confirm your informations.(It only takes a minute.)It's easy:1. Click the link below to open a secure browser window.2. Confirm that you're the owner of the account, and then follow the instructions.Relog in your account now",,,
ham,How come she can get it? Should b quite diff to guess rite...,,,
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.,,,
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",,,
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,,,
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,
